,title,links,h_score,m_score
0,"Marital rape not recognised, says HC; quashes unnatural sex case registered against man by wife",https://www.thehindu.com/news/national/marital-rape-not-recognised-says-hc-quashes-unnatural-sex-case-registered-against-man-by-wife/article68139209.ece,0.57882977,0.018245172
1,Nearly 200 electricity poles uprooted or damaged in Mysuru during rains on May 3,https://www.thehindu.com/news/national/karnataka/nearly-200-electricity-poles-uprooted-or-damaged-in-mysuru-during-rains-on-may-3/article68139185.ece,0.38493556,0.099777244
2,Mamata accuses BJP of scripting Sandeshkhali incident,https://www.thehindu.com/news/national/west-bengal/mamata-accuses-bjp-of-scripting-sandeshkhali-incident/article68139194.ece,0.5170206,-0.016278725
3,IIM-T launches second batch of PG programme,https://www.thehindu.com/news/cities/Tiruchirapalli/iim-t-launches-second-batch-of-pg-programme/article68138663.ece,0.50881684,0.13265169
4,"At Bihar rally, PM Modi rakes up Godhra train arson to accuse Opposition of appeasement",https://www.thehindu.com/elections/lok-sabha/at-bihar-rally-pm-modi-rakes-up-godhra-train-arson-to-accuse-opposition-of-appeasement/article68139101.ece,0.49832577,0.020043239
5,"Over 11 lakh painkiller capsules headed for Sri Lanka seized in Ramanathapuram district, one arrested",https://www.thehindu.com/news/national/tamil-nadu/over-11-lakh-painkiller-capsules-headed-for-sri-lanka-seized-in-ramanathapuram-district-one-arrested/article68138889.ece,0.4257588,0.0061159916
6,Death of Kochi newborn: Unwed mother shifted to ICU after developing complications,https://www.thehindu.com/news/national/kerala/death-of-kochi-newborn-mother-shifted-to-icu-after-developing-complications/article68139070.ece,0.46209222,0.0802071
7,"Arvinder Singh Lovely, former Delhi Congress chief, along with other former Congress leaders join BJP",https://www.thehindu.com/elections/lok-sabha/ahead-of-polls-congress-arvinder-singh-lovely-joins-bjp/article68139098.ece,0.6071033,-0.014635295
8,"Cheetah from Kuno National Park strays into Rajasthan's Karauli, rescued",https://www.thehindu.com/news/national/madhya-pradesh/cheetah-from-kuno-national-park-strays-into-rajasthans-karauli-rescued/article68138982.ece,0.39941198,0.03349914
9,CJI Chandrachud calls for international collaboration to combat juvenile cybercrimes,https://www.thehindu.com/news/national/cji-chandrachud-calls-for-international-collaboration-to-combat-juvenile-cybercrimes/article68138994.ece,0.43684947,0.1489899
10,"Drug cartel busted in Punjab; 2 held with 3 kg heroin, 1 kg 'ice'",https://www.thehindu.com/news/national/punjab/drug-cartel-busted-in-punjab-2-held-with-3-kg-heroin-1-kg-ice/article68138976.ece,0.37054634,0.037914567
11,"Young man in Namakkal arrested for murdering mother, grandfather, with poisoned chicken rice",https://www.thehindu.com/news/cities/Coimbatore/young-man-in-namakkal-arrested-for-murdering-mother-grandfather-with-poisoned-chicken-rice/article68138866.ece,0.525782,0.06776586
12,17 crorepatis candidates in race for four Lok Sabha seats in Odisha,https://www.thehindu.com/elections/lok-sabha/17-crorepatis-candidates-in-race-for-four-lok-sabha-seats-in-odisha/article68139022.ece,0.5708244,-0.039997514
13,Modi trying to create fear psychosis among Hindus to remain in power: Farooq Abdullah,https://www.thehindu.com/news/national/jammu-and-kashmir/modi-trying-to-create-fear-psychosis-among-hindus-to-remain-in-power-farooq-abdullah/article68139030.ece,0.5823969,0.016680442
14,Charred body of Congress’s Tirunelveli East district president found on his own farm,https://www.thehindu.com/news/national/tamil-nadu/charred-body-of-congresss-tirunelveli-east-district-president-found-on-his-own-farm/article68138863.ece,0.50923604,0.056548122
15,CBI likely to issue ‘Blue Corner Notice’ against Prajwal Revanna: SIT,https://www.thehindu.com/news/national/karnataka/cbi-likely-to-issue-blue-corner-notice-against-prajwal-revanna-sit/article68138975.ece,0.5336855,0.026952127
16,BJP orchestrated the Sandeshkhali incident to defame Bengal: TMC,https://www.thehindu.com/news/national/west-bengal/bjp-orchestrated-the-sandeshkhali-incident-to-defame-bengal-tmc/article68138910.ece,0.45697612,-0.004673738
17,"Sucharita Mohanty, Congress candidate for Puri LS seat, withdraws candidature citing party’s inability to fund her campaign",https://www.thehindu.com/elections/lok-sabha/sucharita-mohanty-congress-candidate-for-puri-ls-seat-withdraws-candidature-citing-partys-inability-to-fund-her-campaign/article68138659.ece,0.5854871,-0.019010216
18,"Rabies from stray dog bites claimed 47 lives in Kerala in last four years, shows RTI reply",https://www.thehindu.com/news/national/kerala/rabies-from-stray-dog-bites-claimed-47-lives-in-kerala-in-last-four-years-reveals-rti-reply/article68138854.ece,0.5222016,0.018410586
19,Tanur custodial death case: CBI arrests four Kerala Police officials,https://www.thehindu.com/news/national/kerala/tanur-custodial-death-case-cbi-arrests-four-kerala-police-officials/article68138871.ece,0.52218246,-0.014034761
20,T.N. Police’s facial recognition portal hacked,https://www.thehindu.com/news/national/tamil-nadu/tn-polices-facial-recognition-portal-hacked/article68138751.ece,0.44927216,0.008211195
21,"Rahul Gandhi’s political chess, juggling between Wayanad and Rae Bareli, leaves Congress in a quandary in Kerala",https://www.thehindu.com/elections/lok-sabha/rahul-gandhis-political-chess-juggling-between-wayanad-and-rae-bareli-leaves-congress-in-a-quandary-in-kerala/article68138754.ece,0.6308832,-0.0013400167
22,Delhi High Court grants three more months to trial court to conclude Haryana judicial paper-leak case,https://www.thehindu.com/news/national/delhi-high-court-grants-3-more-months-to-trial-court-to-conclude-haryana-judicial-paper-leak-case/article68138667.ece,0.6061569,0.03200632
23,Step-motherly treatment dished out by Modi govt to Jharkhand: Congress,https://www.thehindu.com/elections/lok-sabha/step-motherly-treatment-dished-out-by-modi-govt-to-jharkhand-congress/article68138666.ece,0.5522044,-0.021208368
24,BJP MLA ‘threatens’ cop for switching off Shivraj Chouhan’s mic; Congress demands action against ex-CM,https://www.thehindu.com/news/national/madhya-pradesh/mla-threatens-cop-for-switching-off-shivraj-chouhans-mic-cong-demands-action-against-ex-cm/article68138665.ece,0.5239856,0.010218445
25,Rohit Vemula’s mother meets Telangana CM Revanth and gets assurance,https://www.thehindu.com/news/national/telangana/rohit-vemulas-mother-meets-telangana-cm-revanth-and-gets-assurance/article68138694.ece,0.50027484,0.10859693
26,"Fresh lookout notice issued against H.D. Revanna, Prajwal in sexual assault case",https://www.thehindu.com/news/national/karnataka/fresh-lookout-notice-issued-against-hd-revanna-prajwal/article68138729.ece,0.53620815,0.01460159
27,"Birth companion scheme at SAT hospital a success, says Kerala Health department",https://www.thehindu.com/news/national/kerala/birth-companion-scheme-at-sat-hospital-a-success-says-kerala-health-department/article68136827.ece,0.41385174,0.07848224
28,Prajwal Revanna sexual harassment case | SIT officials visit Holenarasipur residence of JD(S) MLA H.D. Revanna for spot inspection Karnataka,https://www.thehindu.com/news/national/karnataka/prajwal-revanna-sexual-harassment-case-sit-officials-visit-holenarasipur-residence-of-jds-mla-hd-revanna-for-spot-inspection-karnataka/article68138679.ece,0.46820122,0.071630016
29,Kolkata Police to speak to witnesses in woman's complaint against Governor Ananda Bose,https://www.thehindu.com/news/national/kolkata-police-to-speak-to-witnesses-in-womans-complaint-against-governor-ananda-bose-seeks-cctv-footage-from-raj-bhavan/article68138672.ece,0.5612739,0.035647728
30,Heat waves forecast for 227 mandals in Andhra Pradesh on Saturday,https://www.thehindu.com/news/national/andhra-pradesh/heat-waves-forecast-for-227-mandals-in-andhra-pradesh-on-saturday/article68138586.ece,0.529408,0.06452779
31,Rahul Gandhi writes to Karnataka CM for extending support to Prajwal Revanna’s victims,https://www.thehindu.com/news/national/karnataka/rahul-gandhi-writes-to-karnataka-cm-for-extending-support-to-prajwal-revannas-victims/article68138673.ece,0.5354017,0.0041447375
32,"Three, including woman and daughter, killed in accident in Kerala’s Idukki",https://www.thehindu.com/news/national/kerala/three-including-woman-and-daughter-killed-in-accident-in-keralas-idukki/article68136351.ece,0.52395254,0.012751556
33,NIA files charges against four Maoists in Wayanad firing case,https://www.thehindu.com/news/national/kerala/nia-files-charges-against-four-maoists-in-wayanad-firing-case/article68136386.ece,0.55359334,-0.0022172057
34,"Pakistani leaders praying for Rahul Gandhi to become PM, says Prime Minister Narendra Modi in Jharkhand",https://www.thehindu.com/elections/lok-sabha/pakistani-leaders-praying-for-rahul-gandhi-to-become-pm-says-prime-minister-narendra-modi-in-jharkhand/article68138638.ece,0.57534885,0.022069907
35,Wild elephant wreaks havoc in Aralam farm rehabilitation area in Kerala’s Kannur; three injured,https://www.thehindu.com/news/national/kerala/wild-elephant-wreaks-havoc-in-aralam-farm-rehabilitation-area-in-keralas-kannur-three-injured/article68135690.ece,0.4220375,0.07274488
36,"There is a counter-effect of guarantees because of improper manner in which they are being implemented, says Basavaraj Bommai",https://www.thehindu.com/elections/lok-sabha/there-is-a-counter-effect-of-guarantees-because-of-improper-manner-in-which-they-are-being-implemented-says-basavaraj-bommai/article68132066.ece,0.52718997,-0.0080546215
37,"Online radicalisation continues to pose significant challenge to global security: India, at Interpol conference",https://www.thehindu.com/news/national/online-radicalisation-continues-to-pose-significant-challenge-to-global-security-india-at-interpol-conference/article68138589.ece,0.53088236,0.05501914
38,EAM Jaishankar rejects Joe Biden's 'xenophobia' comment,https://www.thehindu.com/news/national/eam-jaishankar-rejects-joe-bidens-xenophobia-comment/article68138593.ece,0.51988864,0.03347534
39,Government lifts ban on onion exports; imposes minimum export price of $550/tonne,https://www.thehindu.com/news/national/government-lifts-ban-on-onion-exports-imposes-minimum-export-price-of-550tonne/article68138568.ece,0.53053117,-0.05708666
40,Rain forecast for parts of Telangana from May 6,https://www.thehindu.com/news/national/telangana/rain-forecast-for-parts-of-telangana-from-may-6/article68138513.ece,0.44453833,0.039962642
41,Meghalaya troubled by series of petrol bomb attacks,https://www.thehindu.com/news/national/meghalaya/meghalaya-troubled-by-series-of-petrol-bomb-attacks/article68136158.ece,0.5728615,0.048349276
42,ED conducts raids against ‘ponzi mastermind’ Vinod Khute,https://www.thehindu.com/news/cities/mumbai/ed-conducts-raids-against-ponzi-mastermind-vinod-khute/article68136124.ece,0.6561036,0.034711294
43,Bombay HC to decide on Goyal’s bail plea on May 6,https://www.thehindu.com/news/national//article68136619.ece,0.23810652,0.26636603
44,22-year-old from Chennai arrested in Bengaluru for trying to smuggle currency notes to Bangkok,https://www.thehindu.com/news/cities/bangalore/22-year-old-from-chennai-arrested-in-bengaluru-for-trying-to-smuggle-currency-notes-to-bangkok/article68131199.ece,0.5255246,0.023443393
45,"INDIA bloc in disarray in Ladakh over candidature, BJP close ranks ahead of polls",https://www.thehindu.com/elections/lok-sabha/india-bloc-in-disarray-in-ladakh-over-candidature-bjp-close-ranks-ahead-of-polls/article68135808.ece,0.5542889,-0.014125792
46,Everyone in Congress from local leaders to top leadership scared of defeat: Anurag Thakur,https://www.thehindu.com/elections/lok-sabha/everyone-in-congress-from-local-leaders-to-top-leadership-scared-of-defeat-anurag-thakur/article68136177.ece,0.6028345,0.023641165
47,"ED files money laundering case against YouTuber Elvish Yadav, others",https://www.thehindu.com/news/national/ed-files-money-laundering-case-against-youtuber-elvish-yadav-others/article68138493.ece,0.5090642,-0.037658125
48,Top news developments from Telangana today,https://www.thehindu.com/news/national/telangana/top-news-developments-from-telangana-on-may-4/article68138509.ece,0.56385016,0.080573164
49,239 motorists booked in April for wrong side driving in Cyberabad,https://www.thehindu.com/news/cities/Hyderabad/239-motorists-booked-in-april-for-wrong-side-driving-in-cyberabad/article68136985.ece,0.4447996,0.02201144
50,What are the essential rituals for a valid Hindu marriage? | Explained,https://www.thehindu.com/news/national/what-are-the-essential-rituals-for-a-valid-hindu-marriage-explained/article68123953.ece,0.53616095,0.04445274
51,Telangana police to file a petition to further probe Rohit Vemula’s case,https://www.thehindu.com/news/national/telangana/a-fresh-investigation-will-be-conducted-into-rohit-vemulas-case-says-dgp/article68137105.ece,0.51374686,0.20446658
52,"In West Bengal, candidates battle record-breaking temperatures on the campaign trail",https://www.thehindu.com/news/national/west-bengal/in-west-bengal-candidates-battle-record-breaking-temperatures-on-the-campaign-trail/article68138394.ece,0.54042053,0.08052717
53,"Top news developments in Karnataka on May 4, 2024",https://www.thehindu.com/news/national/karnataka/top-news-developments-in-karnataka-on-may-4-2024/article68138368.ece,0.661085,0.037441503
54,Tirthahalli areca emerges best variety among nuts grown in Karnataka,https://www.thehindu.com/business/tirthahalli-areca-emerges-best-variety-among-nuts-grown-in-karnataka/article68138358.ece,0.3273302,0.08626275
55,"‘Savukku’ Shankar arrested from Theni, police vehicle taking him to Coimbatore meets with accident",https://www.thehindu.com/news/national/tamil-nadu/savukku-shankar-arrested-from-theni-police-vehicle-taking-him-to-coimbatore-meets-with-accident/article68138344.ece,0.5222808,0.012627665
56,"Congress, Left tried to gain political mileage by linking Rohith Vemula's death to BJP: Ex-MLC Ramchander Rao",https://www.thehindu.com/news/cities/Hyderabad/congress-left-tried-to-gain-political-mileage-by-linking-rohith-vemulas-death-to-bjp-ex-mlc-ramchander-rao/article68138370.ece,0.5195686,0.08271953
57,Top Kerala news developments today,https://www.thehindu.com/news/national/kerala/top-kerala-news-developments-on-may-4-2024/article68138319.ece,0.4839862,0.11883185
58,Top Tamil Nadu news developments today,https://www.thehindu.com/news/national/tamil-nadu/top-tamil-nadu-news-developments-on-may-4-2024/article68138360.ece,0.4717545,0.057040144
59,I hope my little joke is not seen as expertise: Kasparov after post on Rahul Gandhi goes viral,https://www.thehindu.com/elections/lok-sabha/i-hope-my-little-joke-is-not-seen-as-expertise-kasparov-after-post-on-gandhi-goes-viral/article68138294.ece,0.5586493,0.007009331
60,"Bihar environment secretary addresses Jakarta Futures Forum, stress upon global collaboration for renewable energy transition",https://www.thehindu.com/news/national/bihar-environment-secretary-addresses-jakarta-futures-forum-stress-upon-global-collaboration-for-renewable-energy-transition/article68136345.ece,0.59705055,0.102693796
61,"Morning Digest | SC to consider interim bail for Delhi CM Arvind Kejriwal due to polls; India press freedom score falls, says Reporters sans Frontieres, and more",https://www.thehindu.com/news/national/morning-digest-may-4-2024/article68137505.ece,0.5474194,-0.016910937
62,Lok Sabha polls 2024 LIVE updates: Congress plans to impose tax on ancestral properties: PM Modi in Bihar,https://www.thehindu.com/elections/lok-sabha/lok-sabha-polls-2024-live-updates-may-04-2024/article68136704.ece,0.6519873,0.022671055
63,"EC must publish detailed voter turn out figures, says Sitaram Yechury",https://www.thehindu.com/elections/lok-sabha/ec-must-publish-detailed-voter-turn-out-figures-says-sitaram-yechury/article68135652.ece,0.4073484,0.08219528
64,DOST notification released,https://www.thehindu.com/news/national/telangana/dost-notification-released/article68136646.ece,0.63759685,0.054775424
65,We supplied 2 million units more power than BRS govt.: Bhatti,https://www.thehindu.com/news/national/telangana/we-supplied-2-million-units-more-power-than-brs-govt-bhatti/article68136665.ece,0.4021771,-0.020197768
66,"YSRCP spreading canards on TDP-BJP alliance to confuse minorities, says Lokesh",https://www.thehindu.com/news/national/andhra-pradesh/ysrcp-spreading-canards-on-tdp-bjp-alliance-to-confuse-minorities-says-lokesh/article68136677.ece,0.51944983,-0.05266479
67,"MSP to a legal entitlement for farmers if Congress is voted to power, says Gidugu Rudra Raju",https://www.thehindu.com/news/national/andhra-pradesh/msp-to-a-legal-entitlement-for-farmers-if-congress-is-voted-to-power-says-gidugu-rudra-raju/article68136698.ece,0.4889895,0.026229726
68,"‘Nervous’ Modi trying to throttle voice of dissent, alleged Congress MP candidate Pallam Raju",https://www.thehindu.com/news/national/andhra-pradesh/nervous-modi-trying-to-throttle-voice-of-dissent-alleged-congress-mp-candidate-pallam-raju/article68136382.ece,0.6425195,-0.025089327
69,"Sanjay Raut dismisses Modi’s ‘mellow’ remarks on Uddhav Thackeray, says PM afraid of losing election",https://www.thehindu.com/news/national/maharashtra/sanjay-raut-dismisses-modis-mellow-remarks-on-uddhav-thackeray-says-pm-afraid-of-losing-election/article68137046.ece,0.5533433,0.003062971
70,Murder and mischief in Hubballi,https://www.thehindu.com/news/national/karnataka/murder-and-mischief-in-hubballi/article68136959.ece,0.5197309,0.04813419
71,"Boycott call carries no sense after 2019, our objections to misrepresent these polls stand: Mirwaiz",https://www.thehindu.com/elections/lok-sabha/boycott-call-carries-no-sense-after-2019-our-objections-to-misrepresent-these-polls-stand-mirwaiz/article68135978.ece,0.5776342,0.007828072
72,Summer camps begin for tribal students,https://www.thehindu.com/news/national/kerala/summer-camps-begin-for-tribal-students/article68136741.ece,0.39211696,0.0038783345
73,Greens urge govt. to curb unrestricted inflow of tourist vehicles to Wayanad,https://www.thehindu.com/news/national/kerala/greens-urge-govt-to-curb-unrestricted-inflow-of-tourist-vehicles-to-wayanad/article68136485.ece,0.46770483,0.107506946
74,Woman found dead in house,https://www.thehindu.com/news/national/kerala/woman-found-dead-in-house/article68136374.ece,0.49113727,0.06069203
75,DYFI hosts ‘Youth Alert’ in Vadakara against alleged communal campaign,https://www.thehindu.com/news/national/kerala/dyfi-hosts-youth-alert-in-vadakara-against-alleged-communal-campaign/article68136267.ece,0.4759711,0.04098542
76,"After DU, Jindal University asks students to volunteer for ‘Viksit Bharat’ event",https://www.thehindu.com/news/national/after-du-jindal-university-asks-students-to-volunteer-for-viksit-bharat-event/article68137213.ece,0.5418832,0.08814429
77,Former Congress leader Nirupam joins Eknath Shinde’s Shiv Sena,https://www.thehindu.com/news/national/maharashtra/former-congress-leader-nirupam-joins-eknath-shindes-shiv-sena/article68136571.ece,0.6064959,0.015031777
78,"Hardeep Singh Nijjar killing | Canadian authorities arrest 3 Indian nationals, say more involved in case",https://www.thehindu.com/news/international/hardeep-singh-nijjar-killing-police-make-arrests-says-canadian-media/article68137207.ece,0.5433567,-0.03663598
79,Supreme Court stays opening of a road outside residence of Punjab CM,https://www.thehindu.com/news/national/punjab/supreme-court-stays-opening-of-a-road-outside-residence-of-punjab-cm/article68136458.ece,0.47606963,0.061237946
80,Young voters’ demand for degree college going unheard,https://www.thehindu.com/elections/andhra-pradesh-assembly/young-voters-demand-for-degree-college-going-unheard/article68099096.ece,0.4551323,0.04058373
81,"SRLDC flags the issue of severe low voltages in Tamil Nadu, amid soaring power demand",https://www.thehindu.com/news/national/tamil-nadu/srldc-flags-the-issue-of-severe-low-voltages-in-tamil-nadu-amid-soaring-power-demand/article68136143.ece,0.47384286,0.006040519
82,Vacation crowd shuns Kumarakom amid hot weather,https://www.thehindu.com/news/national/kerala/vacation-crowd-shuns-kumarakom-amid-hot-weather/article68132031.ece,0.41415948,0.09551904
83,Chirag Paswan crosses swords with Tejashwi over ‘blatant lies’,https://www.thehindu.com/elections/lok-sabha/chirag-paswan-crosses-swords-with-tejashwi-over-blatant-lies/article68135997.ece,0.52270013,-0.04785994
84,NTR’s unending aura even after 28 years of his death,https://www.thehindu.com/news/national/telangana/ntrs-unending-aura-even-after-28-years-of-his-death/article68136207.ece,0.57318354,0.034507938
85,Wine shop owners in Telangana bemoan cash seizure in election hustle,https://www.thehindu.com/elections/lok-sabha/wine-shop-owners-in-telangana-bemoan-cash-seizure-in-election-hustle/article68135053.ece,0.5712995,0.024831768
86,Karnataka GST not slowing down: Govt.,https://www.thehindu.com/news/national/karnataka/karnataka-gst-not-slowing-down-govt/article68137277.ece,0.5858006,-0.017917667
87,Drought vs development conundrum for voters in Zaheerabad constituency,https://www.thehindu.com/elections/lok-sabha/drought-vs-development-conundrum-for-voters-in-zaheerabad-constituency/article68135620.ece,0.51096565,-0.02668306
88,Quack nabbed for running clinic for five years,https://www.thehindu.com/news/national/telangana/quack-nabbed-for-running-clinic-for-five-years/article68136542.ece,0.4369141,0.07299362
89,DRI seizes gold worth ₹4.31 crore on Vijayawada-Hyderabad highway,https://www.thehindu.com/news/national/telangana/dri-seizes-gold-worth-431-crore-on-vijayawada-hyderabad-highway/article68136564.ece,0.51605034,0.0049071526
90,Hyderabad Metro Rail passenger count tops 50 crore mark,https://www.thehindu.com/news/national/telangana/hyderabad-metro-rail-passenger-count-tops-50-crore-mark/article68136380.ece,0.44514441,-0.040136784
91,"KTR urges people to follow ‘once bitten, twice shy’ norm",https://www.thehindu.com/elections/lok-sabha/ktr-urges-people-to-follow-once-bitten-twice-shy-norm/article68137104.ece,0.52671385,-0.018605568
92,TS CID nabs absconding couple wanted for ₹27 crore bank fraud from Bengaluru,https://www.thehindu.com/news/national/telangana/ts-cid-nabs-absconding-couple-wanted-for-27-crore-bank-fraud-from-bengaluru/article68135773.ece,0.6569515,-0.0073534735
93,Cathedral board removed from Mateer Memorial Church,https://www.thehindu.com/news/national/kerala/cathedral-board-removed-from-mateer-memorial-church/article68137237.ece,0.41185296,0.027133489
94,Raj Babbar attacks opponents over ‘outsider’ jibe; says he spent his childhood in Gurgaon,https://www.thehindu.com/elections/lok-sabha/raj-babbar-attacks-opponents-over-outsider-jibe-says-he-spent-his-childhood-in-gurugram/article68136471.ece,0.6004324,-0.0031677014
95,Heavy metal contamination in fishes in Kochi backwaters posing grave health risks: study,https://www.thehindu.com/news/national/kerala/heavy-metal-contamination-in-fishes-in-kochi-backwaters-posing-grave-health-risk-study/article68137173.ece,0.43547308,0.043987222
96,Rahul Gandhi for Rae Bareli; Gandhi family loyalist fielded from Amethi,https://www.thehindu.com/news/national/rahul-gandhi-for-rae-bareli-gandhi-family-loyalist-fielded-from-amethi/article68136814.ece,0.70884526,0.0050236443
97,"Case booked against Amit Shah, Kishan Reddy for violating poll code",https://www.thehindu.com/elections/lok-sabha/case-booked-against-amit-shah-kishan-reddy-for-violating-poll-code/article68136909.ece,0.50545377,0.022312468
98,Karnataka BJP seeks extension of polling hours on May 7 due to heat wave,https://www.thehindu.com/elections/lok-sabha/bjp-seeks-extension-of-polling-hours-on-may-7-due-to-heat-wave/article68136720.ece,0.45285463,0.05295538
99,Police file chargesheet against two accused in rape and murder of girl child in Puducherry,https://www.thehindu.com/news/cities/puducherry/police-file-chargesheet-against-two-accused-in-rape-and-murder-of-girl-child-in-puducherry/article68136030.ece,0.50367266,0.08291752
100,Landowners are earning millions for carbon cuts that may not occur,https://mittr-frontend-prod.herokuapp.com/s/613326/californias-cap-and-trade-program-may-vastly-overestimate-emissions-cuts/,0.5168091,0.08873582
101,Facebook’s ad-serving algorithm discriminates by gender and race,https://mittr-frontend-prod.herokuapp.com/s/613274/facebook-algorithm-discriminates-ai-bias/,0.44287896,0.061254643
102,The race to make a lab-grown steak,https://mittr-frontend-prod.herokuapp.com/s/612925/the-race-to-grow-a-more-planet-friendly-burger/,0.35462347,0.14467598
103,A simple blood test to predict premature births could save babies’ lives,https://mittr-frontend-prod.herokuapp.com/s/612931/a-simple-blood-test-to-predict-premature-births-could-save-babies-lives/,0.41831607,0.15010458
104,Bill Gates explains why we should all be optimists,https://mittr-frontend-prod.herokuapp.com/s/612924/bill-gates-explains-why-we-should-all-be-optimists/,0.48489577,0.14850329
105,China’s CRISPR twins might have had their brains inadvertently enhanced,https://mittr-frontend-prod.herokuapp.com/s/612997/the-crispr-twins-had-their-brains-altered/,0.50919175,0.026775023
106,The first privately funded trip to the moon is about to launch,https://mittr-frontend-prod.herokuapp.com/s/612987/the-first-privately-funded-trip-to-the-moon-is-about-to-launch/,0.6427256,0.026480448
107,The Reunion: a new science-fiction story about surveillance in China,https://mittr-frontend-prod.herokuapp.com/s/612590/the-reunion-a-new-science-fiction-story-about-surveillance-in-china/,0.4739974,0.11259782
108,The day I tasted climate change,https://mittr-frontend-prod.herokuapp.com/s/612658/the-day-i-tasted-climate-change/,0.5104162,0.09104271
109,ICONIQ Growth raises $5.75B seventh flagship fund,https://techcrunch.com/2024/05/03/iconiq-raises-5-15b-toward-seventh-flagship-fund/,0.59873354,-0.01857892
110,Luminar cuts 20% of staff and outsources lidar production,https://techcrunch.com/2024/05/03/luminar-layoffs-reduction-restructuring-lidar/,0.46872592,0.0191845
111,"X launches Stories, delivering news summarized by Grok AI",https://techcrunch.com/2024/05/03/x-launches-stories-on-x-delivering-news-summarized-by-grok-ai/,0.5582273,0.08843288
112,Match-owned Archer hits over half a million installs amid dating app slump,https://techcrunch.com/2024/05/03/match-owned-archer-hits-over-half-a-million-installs-amid-dating-app-slump/,0.55571914,0.0014123674
113,"Musk is raising $6B for AI startup. Also, is TikTok dodging Apple’s commissions?",https://techcrunch.com/2024/05/03/xai-billions-and-apple-vs-tiktok-startups-weekly/,0.7011951,0.052167043
114,A comprehensive list of 2024 tech layoffs,https://techcrunch.com/2024/05/03/tech-layoffs-2023-list/,0.6146722,0.044802934
115,Three things we learned about Apple’s AI plans from its earnings,https://techcrunch.com/2024/05/03/three-things-we-learned-about-apples-ai-plans-from-its-earnings/,0.64365077,0.0862154
116,"Fisker stiffed the engineering firm developing its low-cost EV and pickup truck, lawsuit claims",https://techcrunch.com/2024/05/03/fisker-pear-alaska-lawsuit-engineering-class-action/,0.49909067,0.06237996
117,Instagram now lets you post a secret Story that viewers can uncover with a DM,https://techcrunch.com/2024/05/03/instagram-now-lets-you-post-a-secret-story-that-viewers-can-uncover-with-a-dm/,0.5079368,0.0420131
118,Sprinklr lays off more than 100 employees,https://techcrunch.com/2024/05/03/sprinklr-lays-off-more-than-100-employees/,0.5460049,0.042652577
